kind,repeat,initial_val_loss,final_val_loss,learning_progress_proxy,loss_reduction,transfer_accuracy
relevant_rule,11,0.41263071750942626,0.24791093363399,0.36881421011749577,0.16471978387543626,0.618125
mixed_rule,11,0.6962504634656262,0.6910996074504085,0.02739174249983345,0.005150856015217697,0.529375
random,12,0.6997858287814903,0.6932143546852075,0.014873092195644588,0.006571474096282781,0.546875
irrelevant_rule,12,0.6933256426524449,0.5104232913885381,2.8179290424490864,0.18290235126390675,0.70125
relevant_rule,12,0.4107260141000016,0.2650800172742372,0.3926201971860041,0.1456459968257644,0.64125
mixed_rule,12,0.6952505273642203,0.5534667620899072,2.109067146179534,0.14178376527431313,0.44375
random,13,0.6970113435462977,0.6934889407171262,0.008169253294292078,0.0035224028291714893,0.38
irrelevant_rule,13,0.6967380079042036,0.6904316991070273,0.0583149017728124,0.006306308797176308,0.369375
relevant_rule,13,0.41260013243296256,0.24080090096320855,0.42535952352219597,0.171799231469754,0.59
mixed_rule,13,0.7080307648116353,0.6844701323405675,0.14026037366613764,0.023560632471067766,0.6575
random,14,0.6986884704562102,0.693487650601649,0.010453965831444756,0.005200819854561223,0.545625
irrelevant_rule,14,0.6988944863425578,0.6820212169759844,0.17035549842613706,0.016873269366573407,0.4875
relevant_rule,14,0.4743174337424074,0.2684463827906323,0.3610371557846036,0.2058710509517751,0.63625
mixed_rule,14,0.6996522943612936,0.6820476285618612,0.1758419827972717,0.01760466579943243,0.490625
random,15,0.7003946150329111,0.6930965739269407,0.011835854238835264,0.007298041105970432,0.645
irrelevant_rule,15,0.6942409105602092,0.678305777824455,0.2161986070708669,0.0159351327357542,0.743125
relevant_rule,15,0.6080698205277218,0.2625936310367755,0.7243106881214789,0.34547618949094633,0.490625
mixed_rule,15,0.6991681035433973,0.6389918286629606,0.8762475519096007,0.06017627488043675,0.606875
random,16,0.6970062087532767,0.6931160277070528,0.006164558367221851,0.0038901810462238506,0.514375
irrelevant_rule,16,0.7020040600218681,0.6504035473095067,0.696677063103857,0.051600512712361435,0.499375
relevant_rule,16,0.4861249787445109,0.2577925950263886,0.4631477775487704,0.22833238371812226,0.5725
mixed_rule,16,0.6965072103456009,0.6711672526392526,0.35348886793293977,0.025339957706348337,0.508125
random,17,0.6997926937870822,0.6932846788164496,0.012539599960354697,0.006508014970632581,0.49875
irrelevant_rule,17,0.6948882177610018,0.6189046933326422,1.203730680437765,0.07598352442835965,0.665625
relevant_rule,17,0.49089286024370465,0.2666444887873235,0.47004061199341574,0.22424837145638116,0.508125
mixed_rule,17,0.6971217955155825,0.46359468939363097,2.8067981134019973,0.23352710612195154,0.609375
