kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
irrelevant_high,12,101221,41.71242363075463,0.17577416971180057,7.331966630362785,0.48375
relevant_mid,12,101222,7.041851644686359,0.9974465177385957,7.023870401424212,0.68125
mixed_budget_limited,12,101223,40.14009936849312,0.9963029849693446,39.991700817795795,0.70725
relevant_high,12,101224,24.457531854042763,0.999556289436693,24.446679788806705,0.68875
random,4,101240,0.5095265146897672,0.07097772916517398,0.036165034962125336,0.5655
irrelevant_high,4,101241,21.84033374959791,0.00017307751080635706,0.003780070600560477,0.491
relevant_mid,4,101242,6.903773822972878,0.994837095560673,6.868130298454141,0.86225
mixed_budget_limited,4,101243,21.20968697831509,0.000321048785489315,0.0068093442449965996,0.491
relevant_high,4,101244,24.601094965590654,0.9992025967242661,24.581477971878453,0.86825
random,12,101320,0.9373705244256025,0.2902624000986117,0.2720834182014697,0.593
irrelevant_high,12,101321,42.094989181192624,0.1285951567081037,5.413211730381396,0.5195
relevant_mid,12,101322,7.098523948847233,0.998053358734878,7.08470566920695,0.845
mixed_budget_limited,12,101323,39.39120092743595,0.9941312993232495,39.16002575989509,0.74775
relevant_high,12,101324,24.677240514032235,0.9990995479937164,24.65501984330183,0.7925
random,4,101340,0.5439807209456213,0.06006379512501758,0.03267354657483716,0.53375
irrelevant_high,4,101341,21.837516892826027,0.00030160188235552364,0.006586236200846875,0.50025
relevant_mid,4,101342,6.990058953877618,0.9974030992454099,6.971906464505664,0.831
mixed_budget_limited,4,101343,21.07119007410856,0.0003527344010165012,0.0074325336094955285,0.5
relevant_high,4,101344,24.12939483790375,0.9993593765692749,24.11393698220137,0.8275
random,12,101420,0.9023665861377823,0.2772922883346447,0.25021929558686695,0.6005
irrelevant_high,12,101421,42.10541089220473,0.13546389693117145,5.703763041346245,0.52725
relevant_mid,12,101422,6.936752856026452,0.997504266926445,6.91944057250059,0.759
mixed_budget_limited,12,101423,40.345784419693786,0.9978832718777206,40.2603833631972,0.78125
relevant_high,12,101424,24.608215583355165,0.9992914056668398,24.590778341243617,0.68325
random,4,101440,0.4752786267822078,0.11809404562340656,0.056127575835048064,0.54875
irrelevant_high,4,101441,22.263685909539003,6.144025532537684e-05,0.001367886546766071,0.49825
relevant_mid,4,101442,7.00955952319096,0.997033052073258,6.988762525096254,0.73525
mixed_budget_limited,4,101443,21.535586532258442,0.000511869694218376,0.011023414093080506,0.50475
relevant_high,4,101444,24.696760210750547,0.9995864149930194,24.686546001006384,0.736
random,12,101520,0.9387920404434218,0.5837767869345771,0.5480450009698163,0.53025
irrelevant_high,12,101521,41.999693583911196,0.28139198874117666,11.818377304096808,0.59025
relevant_mid,12,101522,7.0001800695192635,0.9982415834647069,6.987870837134992,0.6765
mixed_budget_limited,12,101523,39.94696589527012,0.9989608762777717,39.9054560553773,0.72625
relevant_high,12,101524,24.485175748792926,0.9992551373176315,24.466937655106417,0.72775
random,4,101540,0.4695872002171373,0.04882916713618742,0.022929551884416904,0.55475
irrelevant_high,4,101541,22.097020430745225,4.648149428120064e-05,0.0010271025287832579,0.49475
relevant_mid,4,101542,6.809988226757564,0.9962125790403884,6.784195934612835,0.84275
mixed_budget_limited,4,101543,21.246274524173632,0.0006940505600448096,0.01474598873236848,0.5175
relevant_high,4,101544,24.9775163872956,0.9992934217838556,24.959867818322948,0.837
random,12,101620,0.8870577140586025,0.33651915101253804,0.29851190883412365,0.612
irrelevant_high,12,101621,41.811879497667924,0.26092904742047585,10.909933888186215,0.57375
relevant_mid,12,101622,7.03508872207978,0.9971725869913753,7.015197620710143,0.75
mixed_budget_limited,12,101623,39.952498737514674,0.9977168151113213,39.86127979613222,0.704
relevant_high,12,101624,24.56321912055992,0.9992460183176681,24.544698903283916,0.7825
random,4,101640,0.48204180647491257,0.13874954036620743,0.06688307908569043,0.57025
irrelevant_high,4,101641,22.50712171753151,8.506801637245886e-05,0.0019146361987638948,0.513
relevant_mid,4,101642,6.874134000801869,0.9956380246679571,6.844149197861214,0.748
mixed_budget_limited,4,101643,21.25930000028948,0.00012945814582076277,0.0027521895594848174,0.51175
relevant_high,4,101644,24.720633738463107,0.9990749974893256,24.697767090189565,0.75225
random,12,101720,0.9781625235238987,0.3397344563059852,0.33231551310828217,0.505
irrelevant_high,12,101721,42.526530028746166,0.09547883179990652,4.060383407648329,0.50025
relevant_mid,12,101722,7.220371980709931,0.9971134022736853,7.199529671367268,0.6555
mixed_budget_limited,12,101723,40.13600723135629,0.9982914273277746,40.06743194622855,0.623
relevant_high,12,101724,24.523539174511253,0.9995806211747778,24.513254521461956,0.6365
random,4,101740,0.453694751018465,0.07373437740181972,0.033452899996820135,0.49925
